Wavelength	As-cast	Co-facial	End-on
837.49524	0.79104	0.30435	0.95862
836.94781	0.79375	0.30376	0.94799
836.53717	0.7982	0.30429	0.94981
835.98956	0.79784	0.30506	0.94482
835.44177	0.79878	0.30491	0.93366
835.03088	0.79929	0.30496	0.93432
834.48285	0.79951	0.30479	0.92469
833.93475	0.80323	0.3042	0.92016
833.52356	0.80394	0.30445	0.91261
832.97522	0.80486	0.30461	0.91439
832.5639	0.80262	0.30421	0.90448
832.01532	0.80743	0.30472	0.90109
831.46661	0.80774	0.30435	0.89448
831.05505	0.81015	0.30454	0.88629
830.5061	0.80732	0.30502	0.87774
829.95703	0.80992	0.30537	0.87819
829.54517	0.81029	0.30485	0.87447
828.99591	0.80944	0.30506	0.86243
828.44653	0.81311	0.30487	0.8603
828.03436	0.81244	0.30485	0.8556
827.48474	0.81396	0.30454	0.8482
826.935	0.81443	0.30451	0.84544
826.52258	0.81753	0.30441	0.83364
825.97266	0.81399	0.30431	0.83478
825.56006	0.81534	0.30507	0.82391
825.00989	0.81528	0.30494	0.8207
824.45953	0.81736	0.30543	0.81352
824.04669	0.81546	0.30527	0.80758
823.49615	0.81566	0.30439	0.80173
822.9455	0.81407	0.3044	0.79737
822.53241	0.81563	0.30458	0.79256
821.98151	0.81417	0.30411	0.78807
821.56824	0.81818	0.305	0.77872
821.01715	0.81597	0.30505	0.77746
820.46588	0.81296	0.3053	0.77023
820.05237	0.81389	0.30499	0.76929
819.50092	0.81124	0.30422	0.75957
818.94934	0.81405	0.30452	0.75907
818.53558	0.81347	0.30405	0.75016
817.98376	0.81726	0.30562	0.73945
817.43182	0.81278	0.30523	0.74368
817.01776	0.81127	0.30506	0.73293
816.46564	0.80918	0.3045	0.73069
816.05139	0.81104	0.30458	0.72872
815.49902	0.80795	0.30382	0.71528
814.94653	0.80732	0.30526	0.72048
814.53204	0.8093	0.3039	0.71155
813.97937	0.80832	0.30425	0.70181
813.5647	0.80729	0.30431	0.69766
813.01178	0.80609	0.30422	0.69496
812.45874	0.80687	0.30415	0.68993
812.04382	0.80327	0.30365	0.69313
811.49054	0.8035	0.3041	0.68335
810.93713	0.80711	0.3037	0.68323
810.52197	0.80085	0.30425	0.67448
809.96838	0.80163	0.30243	0.67393
809.55304	0.79809	0.3048	0.669
808.99921	0.79634	0.30374	0.66282
808.44525	0.80094	0.30355	0.66523
808.02966	0.79332	0.30282	0.65712
807.47546	0.7969	0.30392	0.65769
807.05975	0.797	0.304	0.65035
806.50537	0.79337	0.30372	0.65113
805.95081	0.79084	0.30393	0.64576
805.53485	0.78806	0.30391	0.64094
804.9801	0.78766	0.30281	0.63352
804.56396	0.78409	0.304	0.63997
804.00897	0.78538	0.30253	0.63312
803.45386	0.78527	0.30334	0.62763
803.03748	0.78077	0.30282	0.62792
802.48218	0.77857	0.30336	0.62309
802.06561	0.78024	0.30342	0.61994
801.51007	0.77799	0.30325	0.61594
800.95447	0.77511	0.30365	0.61886
800.5376	0.77446	0.30234	0.61636
799.98175	0.77658	0.30236	0.61122
799.56476	0.77382	0.30152	0.60685
799.00873	0.77081	0.30233	0.60921
798.45251	0.76625	0.30317	0.6031
798.03528	0.76662	0.30189	0.60508
797.47888	0.76536	0.3021	0.60125
797.06146	0.76526	0.30158	0.60099
796.50482	0.76037	0.30145	0.59196
795.94806	0.76231	0.30236	0.59318
795.53046	0.76067	0.30121	0.58917
794.97345	0.75613	0.30053	0.58854
794.55566	0.75808	0.30075	0.58677
793.99847	0.75605	0.30179	0.58892
793.44116	0.75228	0.30143	0.58189
793.02313	0.75144	0.30126	0.58066
792.46558	0.7487	0.30047	0.58188
792.04736	0.74814	0.30082	0.58128
791.48962	0.74326	0.29971	0.57593
790.93176	0.74463	0.30084	0.57966
790.51331	0.74443	0.30023	0.57478
789.95526	0.74148	0.30012	0.57422
789.53662	0.74066	0.29924	0.57181
788.97833	0.73655	0.29977	0.57161
788.55951	0.73635	0.29916	0.5718
788.00104	0.73499	0.29898	0.57222
787.44244	0.73281	0.29889	0.57059
787.02338	0.73121	0.29838	0.56657
786.46454	0.7266	0.29909	0.56671
786.04535	0.72708	0.2983	0.56693
785.48633	0.7276	0.29798	0.56895
785.06696	0.72277	0.29804	0.56559
784.50769	0.72105	0.29765	0.56723
783.9483	0.72157	0.29757	0.56379
783.52875	0.71731	0.29822	0.56718
782.96912	0.71704	0.29789	0.56446
782.54938	0.71612	0.29697	0.56154
781.98956	0.71368	0.29693	0.56576
781.56964	0.71205	0.29656	0.56305
781.00964	0.71025	0.29622	0.56265
780.44952	0.7078	0.29582	0.56036
780.02936	0.70464	0.29609	0.56533
779.46899	0.70557	0.29546	0.56524
779.04871	0.70458	0.29596	0.56295
